Comparison	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WAC vs mock	hsa04625	C-type lectin receptor signaling pathway	32/1021	104/8146	6.74755251274141E-07	1.35794494318921E-05	1.08759892475108E-05	3593/3569/7124/3553/5743/51561/3592/3659/3586/338339/26253/4792/4790/602/51266/4791/5600/22800/834/3725/1540/10379/6773/841/5533/5970/6714/1263/1959/9020/4775/1960	32
WAC vs mock	hsa05133	Pertussis	26/1021	76/8146	7.85655226353397E-07	1.48812342873996E-05	1.1918608697002E-05	3593/3569/7124/3553/51561/3576/3592/3552/3659/3586/353376/710/721/4790/720/5600/834/3725/3394/10392/715/716/840/5970/148022/2353	26
WAC vs mock	hsa05161	Hepatitis B	43/1021	162/8146	8.71321828235322E-07	1.55869793717652E-05	1.24838507554184E-05	3569/7124/3576/3456/6775/9586/3665/353376/4792/23586/64135/3439/3718/6776/4790/90993/5600/596/3725/355/6774/6773/2185/841/5970/843/3717/6714/5606/29110/468/8900/148022/2353/3339/1959/4775/1870/10454/317/8772/7048/1960	43
WAC vs mock	hsa04623	Cytosolic DNA-sensing pathway	23/1021	63/8146	9.21805694016353E-07	1.56221807091192E-05	1.25120440462053E-05	3569/6352/3553/9560/6351/3456/81030/3627/9447/3665/4792/23586/3439/115004/4790/3606/10623/834/5970/8737/29110/55703/171568	23
WAC vs mock	hsa05168	Herpes simplex virus 1 infection	98/1021	495/8146	1.46606121692892E-06	2.36035855925556E-05	1.8904473586715E-05	3593/3569/7124/6352/3553/3456/9021/3592/4049/3458/3665/330/7568/4792/3112/23586/64135/5371/4939/3439/115004/4790/4940/3134/4938/5451/5819/5610/596/355/10379/10482/6891/6773/80264/51427/598/6672/10308/329/841/8717/5970/3717/6714/7752/29110/730051/148022/163255/84775/26974/388569/57209/6041/7691/58492/147923/201514/7738/339318/7694/7625/115196/7638/7565/7556/147837/26149/388567/10454/7549/90233/57573/284306/26152/317/136051/8772/93134/285267/342909/162655/7771/65243/126017/7700/139735/147686/57677/90649/148266/400720/79788/7772/3111/125893/163131	98
WAC vs mock	hsa05323	Rheumatoid arthritis	29/1021	93/8146	1.6517750978543E-06	2.53272181670992E-05	2.02849573420703E-05	6364/1437/3569/7124/6352/4312/3553/6349/51561/3576/2920/2921/2919/6348/3552/941/3458/1493/3600/3112/3606/3383/3725/10673/1435/7422/2353/8741/3111	29
WAC vs mock	hsa05321	Inflammatory bowel disease	23/1021	65/8146	1.73659591103052E-06	2.54174492432648E-05	2.03572247943769E-05	3593/3569/7124/3553/51561/6775/3592/3552/3458/3586/2625/149233/3112/8807/4790/3606/6095/3725/6774/5970/4094/7100/3111	23
WAC vs mock	hsa05143	African trypanosomiasis	16/1021	37/8146	3.2413593792778E-06	4.53790313098893E-05	3.63447619186756E-05	3593/3569/3620/7124/169355/3553/3592/3458/6401/3586/8542/3606/3383/5332/355/23236	16
WAC vs mock	hsa04658	Th1 and Th2 cell differentiation	28/1021	92/8146	4.23785335158857E-06	5.68578658004799E-05	4.55383364534736E-05	3593/54567/3559/6775/3592/3458/2625/4792/3112/864/3718/6776/4790/5600/182/3725/28514/5533/5970/3717/3560/7535/4794/27040/2353/4775/4094/3111	28
WAC vs mock	hsa05167	Kaposi sarcoma-associated herpesvirus infection	47/1021	194/8146	4.47094822825559E-06	5.71057898805854E-05	4.57369026503544E-05	1437/3569/5743/3576/3456/2920/2921/2919/84557/3665/5155/2786/4792/2247/83439/3439/4790/3383/5600/285/3134/1827/5610/3725/355/6774/10379/23533/6773/7538/841/5533/8717/5970/1233/3717/4277/6714/7422/6934/100507436/29110/148022/2353/4775/1870/8772	47
WAC vs mock	hsa04010	MAPK signaling pathway	64/1021	294/8146	4.61102651209695E-06	5.71057898805854E-05	4.57369026503544E-05	7124/3553/2069/2324/374/3552/3310/2250/1850/2322/59283/5155/1843/2318/4616/1647/3479/773/1943/2247/1847/3303/9693/1326/4790/1946/4791/5600/22800/285/1844/4254/3304/3725/4216/3554/355/1649/10125/5908/4233/6788/1435/5533/8717/5970/9448/25780/5606/7422/8605/11221/468/1846/55799/2353/1944/1849/3312/9020/4775/10454/7048/1945	64
WAC vs mock	hsa04659	Th17 cell differentiation	31/1021	108/8146	5.15925786977633E-06	6.15289271877029E-05	4.92794611343158E-05	3569/3559/3553/51561/246778/10148/3662/3458/2625/4792/149233/3112/3718/6776/4790/5600/6095/3725/3554/6774/5533/5970/3717/3560/7535/4794/27040/2353/4775/7048/3111	31
WAC vs mock	hsa05145	Toxoplasmosis	31/1021	112/8146	1.16796093622943E-05	0.000134315507666	0.00010757534939	3593/7124/3592/3310/3458/8651/3586/958/330/4792/3112/3911/3303/4790/5600/3912/596/3304/6774/23533/331/598/3908/329/841/5970/3717/5606/3312/10454/3111	31
WAC vs mock	hsa05142	Chagas disease	29/1021	102/8146	1.26607164684995E-05	0.000136748905729	0.000109524295206	3593/3569/7124/6352/3553/6349/3576/3456/6348/3592/3458/3586/4792/624/4790/5054/5600/5332/8837/3725/355/841/5970/23236/148022/2353/2774/8772/7048	29
WAC vs mock	hsa04672	Intestinal immune network for IgA production	18/1021	49/8146	1.27405812790748E-05	0.000136748905729	0.000109524295206	3569/3601/941/3586/958/3600/23495/3112/29851/10673/57379/115650/9020/7852/8174/8741/3695/3111	18
WAC vs mock	hsa04062	Chemokine signaling pathway	44/1021	192/8146	3.93643084808181E-05	0.000408880881639	0.000327478966988	6364/6352/4283/9560/6349/1236/6351/3576/6373/2920/2921/2919/3627/6348/6359/6346/6363/2786/653361/4792/6375/6362/3718/4790/6355/5332/643/6774/2309/56288/23533/6773/5908/2185/5970/1233/3717/6368/6714/23236/7852/112/10451/1794	44
WAC vs mock	hsa04640	Hematopoietic cell lineage	27/1021	99/8146	5.60741728310243E-05	0.000564246364112	0.000451913563934	1440/1437/3569/7124/3559/3553/1379/3672/3552/952/3575/2322/3112/947/3574/3563/924/4254/3554/960/914/1435/1604/912/3673/2057/3111	27
WAC vs mock	hsa04217	Necroptosis	37/1021	159/8146	0.000113762508302	0.001110046293131	0.000889053095185	7124/3553/3456/81030/6775/3552/3458/7128/353376/330/8743/3439/3718/6776/834/8837/5610/596/355/1540/6774/10379/331/6773/55072/329/841/8717/3717/10616/8605/55506/8737/148022/2747/8772/142	37
WAC vs mock	hsa05140	Leishmaniasis	22/1021	77/8146	0.000127724509113	0.001209626233365	0.000968808196059	3593/7124/3553/5743/1379/3592/3552/3458/3586/65108/653361/4792/3112/4790/5600/2212/3725/5970/3717/2353/10454/3111	22
WAC vs mock	hsa04940	Type I diabetes mellitus	15/1021	43/8146	0.000132850935878	0.001222228610074	0.000978901632782	3593/7124/3553/3592/3552/941/4049/3002/3458/3112/5551/2571/3134/355/3111	15
WAC vs mock	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	24/1021	89/8146	0.000172975144983	0.00154716657457	0.001239149430434	55509/3458/10538/353376/4792/116071/29126/4790/5600/3725/6774/10125/5533/5970/3717/5606/1457/7535/148022/4794/27040/2353/4775/238	24
WAC vs mock	hsa04933	AGE-RAGE signaling pathway in diabetic complications	26/1021	100/8146	0.000180424021569	0.001570176620145	0.00125757852872	3569/7124/3553/3576/1906/3552/6401/185/6776/4790/5054/3383/5600/5292/177/5332/596/3725/6774/5970/3717/27035/7422/23236/2152/7048	26
WAC vs mock	hsa04380	Osteoclast differentiation	31/1021	128/8146	0.000186577584934	0.001580999535489	0.001266246767554	7124/3553/3456/9021/3552/3458/8651/653361/4792/4790/4791/5600/2212/2355/3725/3554/1540/10379/6773/2354/1435/8061/5533/5970/27035/3937/11025/2353/9020/10454/7048	31
WAC vs mock	hsa05202	Transcriptional misregulation in cancer	42/1021	193/8146	0.000200834996291	0.001658176123226	0.001328058679929	1437/3569/3576/51513/3002/7185/2322/958/330/4616/1647/64332/3479/5079/8013/5371/5966/860/4790/5327/26471/440093/597/1649/4233/598/329/5970/3560/3021/604/8900/3087/1050/1053/8864/1031/4094/2313/4066/3695/7048	42
WAC vs mock	hsa04936	Alcoholic liver disease	33/1021	142/8146	0.000269053237425	0.002165878561275	0.001734685346559	3593/3569/7124/3553/3576/3456/2920/2921/2919/3592/4792/83439/3439/721/4790/720/5600/355/2309/841/8717/5970/5606/29896/6934/8737/29110/148022/9020/10454/32/8772/219	33
WAC vs mock	hsa04215	Apoptosis - multiple species	12/1021	32/8146	0.000286829326581	0.002252659589242	0.001804189602368	5366/330/596/331/598/329/841/840/10018/27113/317/8772	12
WAC vs mock	hsa05166	Human T-cell leukemia virus 1 infection	46/1021	222/8146	0.000335399707826	0.002571397760002	0.002059471890162	1437/3569/7124/3559/3601/4049/9586/958/3600/4487/4792/2113/3112/10744/2114/3718/6776/4790/90993/4791/3383/3134/3725/3554/4316/331/598/7538/8061/5533/5970/3560/115650/468/8900/2353/1959/9020/4775/112/1031/1870/701/7048/3111/64682	46
WAC vs mock	hsa05160	Hepatitis C	35/1021	157/8146	0.00041390818421	0.003099498495709	0.002482435866129	7124/3456/91543/3627/9021/3458/3665/439996/3434/9076/4792/4599/23586/4939/3439/4600/4790/4940/4938/8837/5610/355/6774/10379/6773/841/8717/5970/8737/29110/148022/6041/1870/317/8772	35
WAC vs mock	hsa05330	Allograft rejection	13/1021	38/8146	0.000460128981766	0.003367307548379	0.002696928242409	3593/7124/3592/941/3002/3458/3586/958/3112/5551/3134/355/3111	13
WAC vs mock	hsa05144	Malaria	15/1021	50/8146	0.000845199732351	0.006047873640381	0.004843834723417	1440/3569/7124/3553/3576/1379/3592/3458/6401/7057/3586/958/3606/3383/4233	15
WAC vs mock	hsa05130	Pathogenic Escherichia coli infection	40/1021	197/8146	0.001208115868531	0.008456811079717	0.006773189651947	3569/7124/3553/3576/64005/9076/4792/4629/4640/8743/4790/3606/5600/837/2212/834/3725/51807/3554/355/8440/841/840/8717/5970/4651/6714/4430/7280/7082/8737/55971/55930/2353/57121/4671/10454/8772/9632/7100	40
WAC vs mock	hsa05146	Amoebiasis	24/1021	102/8146	0.001474105814138	0.010099193024518	0.008088598532223	3593/1437/3569/7124/3553/3576/2920/2921/2919/5272/3592/3458/5273/3586/3911/4790/5332/3912/3554/3908/5970/23236/912/2774	24
WAC vs mock	hsa04660	T cell receptor signaling pathway	24/1021	104/8146	0.001953320912313	0.013103527786768	0.010494816305192	1437/7124/3458/3586/1493/4792/29851/1326/4790/5600/3725/8440/10125/5533/5970/3937/7535/4794/27040/2353/9020/4775/56924/10451	24
WAC vs mock	hsa04015	Rap1 signaling pathway	41/1021	210/8146	0.002299812027278	0.015113050464967	0.012104273827777	2324/135/2250/7057/5155/3479/1943/2247/9693/1946/5600/285/5332/4254/136/56288/9732/5908/26037/4233/1435/5900/83593/5217/25780/6714/5606/7422/51735/5898/3937/23236/27040/1944/57121/112/50855/10451/5028/64411/1945	41
WAC vs mock	hsa05135	Yersinia infection	29/1021	137/8146	0.002873848558529	0.018507584716926	0.014823008354518	3569/7124/3553/3576/3456/4210/3586/4792/4790/3606/5600/2212/834/3725/2185/5970/6714/5606/3937/29110/7535/148022/27040/2353/64283/4775/8395/10454/10451	29
WAC vs mock	hsa05132	Salmonella infection	46/1021	249/8146	0.004005666330663	0.025290677617126	0.020255691455364	3569/7124/3553/3576/399/838/330/2318/4792/8743/83439/26084/4790/8767/3606/5600/837/834/596/3725/51807/10392/6993/7295/329/841/840/8717/55207/5970/388/5217/5606/7280/3799/6934/5898/8737/64746/51429/83658/2353/4671/10454/8772/7100	46
WAC vs mock	hsa05332	Graft-versus-host disease	12/1021	42/8146	0.004274425400762	0.026468557289336	0.021199073343862	3569/7124/3553/3552/941/3002/3458/3112/5551/3134/355/3111	12
WAC vs mock	hsa05152	Tuberculosis	35/1021	180/8146	0.004964430937811	0.030161259659906	0.024156615288255	3593/3569/7124/3553/51561/3456/1379/3592/3552/3458/3586/26253/3656/3112/3439/4790/8767/3606/5600/2212/596/841/8877/5533/8717/5970/843/3717/6714/1263/5994/56848/317/8772/3111	35
WAC vs mock	hsa04151	PI3K-Akt signaling pathway	61/1021	354/8146	0.005365139435989	0.031992127747937	0.025622985610476	1440/3569/3559/3456/2069/3696/3672/2324/374/3575/2250/7057/9586/2322/5155/2786/54541/3479/1943/5008/2247/3911/9180/3439/3718/4790/3574/1946/90993/7148/3563/285/3912/8515/5618/4254/596/2309/23533/4233/598/3908/1435/10018/5970/3717/3560/7422/4602/4170/468/29941/1101/1944/3667/57121/3673/2057/3695/5934/1945	61
WAC vs mock	hsa05340	Primary immunodeficiency	11/1021	38/8146	0.00549770433456	0.032186559922333	0.025778709319947	3575/100/958/23495/29851/3718/6891/57379/115650/7535/5994	11
WAC vs mock	hsa05131	Shigellosis	45/1021	247/8146	0.005721711204108	0.032899839423623	0.026349985808394	1437/7124/6352/3553/3576/3456/80201/84557/4792/115004/4790/8767/3606/10318/5600/837/5332/834/440093/596/3725/92610/3554/2309/10392/55072/960/598/23048/8717/5970/102724594/5217/10616/3021/6714/55752/8737/64121/29110/23236/4671/30849/10454/7100	45
WAC vs mock	hsa05418	Fluid shear stress and atherosclerosis	28/1021	139/8146	0.006910360511271	0.039037475168935	0.031265712377865	7124/3553/1906/3552/3458/6401/5155/1843/653361/857/387082/6385/4790/3383/5600/5327/596/3725/3554/7295/5970/445/27035/119391/6714/7422/2353/59341	28
WAC vs mock	hsa05221	Acute myeloid leukemia	16/1021	67/8146	0.007406377305612	0.041118163662188	0.032932167692828	1437/2322/83439/5371/6776/4790/5292/11040/597/6774/5970/6934/8900/1050/1053/8864	16
WAC vs mock	hsa05163	Human cytomegalovirus infection	41/1021	225/8146	0.008081364822992	0.044105075813615	0.035324431429669	3569/7124/6352/3553/5743/9560/6349/6351/3576/3456/6348/9586/2786/4792/3439/115004/4790/90993/5600/3134/5332/3554/355/6774/6891/2185/841/5533/8717/5970/6714/7422/8737/29110/468/23236/7852/4775/112/1870/8772	41
WAC vs mock	hsa05222	Small cell lung cancer	20/1021	92/8146	0.008980946274976	0.04819774500904	0.038602312936302	5743/7185/330/4792/4616/1647/3911/4790/3912/596/331/598/3908/329/5970/9618/6502/3673/1870/317	20
WAC vs mock	hsa05165	Human papillomavirus infection	56/1021	331/8146	0.010798452000328	0.05700166465747	0.045653507162733	7124/5743/3456/23462/3280/3696/3672/57801/9636/8638/7474/3659/7057/9586/4599/83439/3911/3439/4600/4790/90993/7148/182/3134/3912/7471/8515/5610/355/56288/10379/54361/6773/3908/841/8717/5970/8326/7422/6934/1857/64398/29110/23352/8900/148022/1101/7481/3673/8321/50855/54626/8772/8325/3695/5934	56
WAC vs mock	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	16/1021	70/8146	0.011407811871022	0.05924702294305	0.047451849039056	6352/3576/2920/2921/2919/4792/4790/5600/3725/58494/10392/4233/5970/6714/7082/9020	16
WAC vs mock	hsa05224	Breast cancer	28/1021	147/8146	0.014683696375504	0.075050003697022	0.060108698613176	54567/23462/3280/2324/7474/2250/4616/1647/3479/2247/83439/675/4791/182/7471/3725/54361/28514/8326/6934/1857/2353/10023/7481/8321/1870/23401/8325	28
WAC vs mock	hsa04115	p53 signaling pathway	16/1021	73/8146	0.016941535571754	0.085237100845389	0.068267700905918	5366/7057/4616/1647/3479/83667/5054/596/355/598/841/3732/6477/891/27113/317	16
WAC vs mock	hsa04360	Axon guidance	33/1021	182/8146	0.017499202080584	0.086688354922279	0.069430032546447	54437/8633/7474/9423/27289/223117/1943/84628/54910/91653/1946/57522/3985/8440/56288/3897/54361/4233/6091/10371/56963/10501/5533/6714/9901/10507/3983/1944/7852/4775/56924/50855/1945	33
WAC vs mock	hsa05203	Viral carcinogenesis	36/1021	204/8146	0.02009801632206	0.098053958419746	0.078532918642817	5366/3249/7185/9586/3665/4792/5966/3718/6776/4790/90993/4791/3134/5610/8339/3725/6774/10379/2959/6672/8365/9734/841/8717/5970/1233/6714/8970/468/23352/8900/6502/1959/5934/9093/1960	36
WAP vs mock	hsa04060	Cytokine-cytokine receptor interaction	68/598	295/8146	3.24513601957212E-18	9.99501894028212E-16	7.75416712045127E-16	3593/6364/3569/1440/1437/6352/3553/4283/6346/3559/7124/51561/970/1236/3627/10148/6373/246778/9560/64109/3601/6359/6351/3576/3592/8744/2833/282618/6349/2921/2919/3458/3600/2920/3624/23529/50604/8743/27189/57007/6348/3604/958/3552/3456/3575/85480/8809/650/9235/3606/133396/7293/1233/5618/4049/355/10673/3439/3574/3586/6368/6355/9966/7043/943/8740/7852	68
WAP vs mock	hsa04668	TNF signaling pathway	37/598	112/8146	1.1473151540475E-15	1.76686533723316E-13	1.37073968404623E-13	6364/3569/1437/6352/3553/7124/3627/5743/3659/2921/7185/2919/3600/2920/9021/7128/3456/4792/9586/1326/8809/330/4049/355/1906/182/602/5600/4790/3383/8837/5608/8717/840/64127/2353/9020	37
WAP vs mock	hsa04061	Viral protein interaction with cytokine and cytokine receptor	32/598	100/8146	2.8034939106551E-13	2.87825374827257E-11	2.23295830778494E-11	6364/3569/6352/4283/6346/3559/7124/1236/3627/6373/9560/6359/6351/3576/2833/6349/2921/2919/2920/50604/8743/57007/6348/8809/3606/1233/4049/3586/6368/6355/8740/7852	32
WAP vs mock	hsa04064	NF-kappa B signaling pathway	32/598	104/8146	9.4607104766054E-13	7.28474706698616E-11	5.65152967944586E-11	3553/7124/5743/128178/9560/6351/3576/2921/1647/7185/2919/2920/4616/7128/958/353376/4792/330/4049/10673/7706/4791/4790/3383/1540/23586/8837/8717/597/8740/929/9020	32
WAP vs mock	hsa05417	Lipid and atherosclerosis	45/598	215/8146	7.31038664674886E-11	4.5031981743973E-09	3.49359530276209E-09	3593/3569/6352/3553/7124/4312/1543/3576/3592/6349/2921/2919/815/2920/8743/6348/3310/3665/958/653361/3456/353376/4792/1573/9619/3606/6648/355/177/3439/3717/5600/4790/3383/3303/5451/5608/840/834/5332/5533/2353/929/3312/4775	45
WAP vs mock	hsa05134	Legionellosis	21/598	57/8146	1.86254142436952E-10	9.56104597843022E-09	7.41748953213828E-09	3593/3569/3553/7124/1379/3576/3592/2921/2919/2920/3310/4792/3606/4791/4790/3303/840/834/929/3312/4671	21
WAP vs mock	hsa04621	NOD-like receptor signaling pathway	40/598	184/8146	2.59840057113401E-10	1.14329625129896E-08	8.86972826537473E-09	3569/6352/3553/7124/115361/3576/4210/9447/2921/2919/2633/115362/2920/388646/3665/7128/84557/838/3456/4792/330/3606/10135/4939/2634/2635/4940/3439/5600/4790/8767/4938/5027/114769/834/5332/64127/7158/4671/6041	40
WAP vs mock	hsa05164	Influenza A	38/598	171/8146	3.76733250910983E-10	1.45042301600728E-08	1.12524273627359E-08	3593/3569/6352/3553/7124/3627/3576/91543/3592/402569/3458/9021/8743/3665/3552/3456/4792/3112/3606/64135/5371/4599/355/4939/4940/7706/3439/3717/4600/4790/3383/23586/5610/4938/8717/834/3111/6041	38
WAP vs mock	hsa04620	Toll-like receptor signaling pathway	27/598	104/8146	3.97895187273485E-09	1.36168575200259E-07	1.0564000878489E-07	3593/3569/6352/3553/4283/7124/3627/6373/9560/6351/3576/3592/6349/941/6348/3665/958/3456/353376/4792/1326/3439/5600/4790/5608/2353/929	27
WAP vs mock	hsa05323	Rheumatoid arthritis	25/598	93/8146	6.96134689880925E-09	2.14409484483325E-07	1.66339552213653E-07	6364/3569/1437/6352/3553/7124/51561/4312/3576/6349/2921/2919/3458/941/3600/2920/6348/3552/3112/3606/10673/3383/7043/2353/3111	25
WAP vs mock	hsa05162	Measles	30/598	139/8146	5.61548935424429E-08	1.5723370191884E-06	1.21982400326646E-06	3593/3569/3553/3559/3592/6504/3310/3665/7128/3552/3456/4792/64135/4599/355/3718/6776/4939/4940/3439/27113/4600/4790/23586/5610/3303/4938/8717/2353/3312	30
WAP vs mock	hsa05133	Pertussis	21/598	76/8146	6.71386350140133E-08	1.72322496535967E-06	1.33688334633167E-06	3593/3569/3553/7124/51561/3576/3592/3659/3552/353376/710/716/715/3394/5600/4790/3586/840/834/2353/929	21
WAP vs mock	hsa04625	C-type lectin receptor signaling pathway	25/598	104/8146	7.9400319091579E-08	1.8811767907851E-06	1.45942286913267E-06	3593/3569/3553/7124/51561/5743/3592/3659/26253/338339/4792/51266/602/4791/5600/4790/1540/3586/22800/834/5533/1960/1959/4775/9020	25
WAP vs mock	hsa05321	Inflammatory bowel disease	19/598	65/8146	1.06269913734738E-07	2.33793810216423E-06	1.81377973066056E-06	3593/3569/3553/7124/51561/3592/6775/3458/3552/8809/3112/3606/4790/3586/7043/64127/4094/30009/3111	19
WAP vs mock	hsa05143	African trypanosomiasis	14/598	37/8146	1.42383516487189E-07	2.92360820520362E-06	2.26814443807663E-06	3593/3569/3620/169355/3553/7124/3592/3458/8542/3606/355/3383/3586/5332	14
WAP vs mock	hsa04623	Cytosolic DNA-sensing pathway	18/598	63/8146	3.37327993249631E-07	6.4935638700554E-06	5.03772726760963E-06	3569/6352/3553/81030/3627/9560/6351/9447/3665/3456/4792/3606/10623/3439/4790/115004/23586/834	18
WAP vs mock	hsa04010	MAPK signaling pathway	45/598	294/8146	1.52751741737481E-06	2.76750214442025E-05	2.14703686528844E-05	3553/7124/2069/2322/2324/1942/1943/1647/4616/3310/3552/59283/1326/5155/1850/3479/2318/1847/1946/9693/355/10235/285/10125/773/4254/4791/5600/4790/4216/3303/22800/55970/7043/9254/5608/8717/1843/5533/2353/929/3312/4775/9020/3082	45
WAP vs mock	hsa05144	Malaria	15/598	50/8146	1.63424484567376E-06	2.79637451370843E-05	2.16943614016341E-05	3569/1440/3553/7124/1379/3576/3592/3458/958/3606/7057/3383/3586/7043/3082	15
